10 Bulbizarre|1 0 3 11|64|45 49 49 45
10 Herbizarre|1 0 3 11|142|60 62 63 60
10 Florizarre|1 0 3 11|236|80 82 83 80
9 Salameche|1 0 9 -1|62|39 52 43 65
9 Reptincel|1 0 9 -1|142|58 64 58 80
9 Dracaufeu|1 0 2 9|240|78 84 78 100
8 Carapuce|1 0 10 -1|63|44 48 65 43
9 Carabaffe|1 0 10 -1|142|59 63 80 58
7 Tortank|1 0 10 -1|239|79 83 100 78
8 Chenipan|1 0 6 -1|39|45 30 35 45
10 Chrysacier|1 0 6 -1|72|50 20 55 30
10 Papilusion|1 0 2 6|178|60 45 50 70
7 Aspicot|1 0 3 6|39|40 35 30 50
9 Coconfort|1 0 3 6|72|45 25 50 35
10 Dardargnan|1 0 3 6|178|65 90 40 75
7 Roucool|1 0 2 0|50|40 45 40 56
8 Roucoups|1 0 2 0|122|63 60 55 71
10 Roucarnage|1 0 2 0|216|83 80 75 101
7 Rattata|1 0 0 -1|51|30 56 35 72
8 Rattatac|1 0 0 -1|145|55 81 60 97
8 Piafabec|1 0 2 0|52|40 60 30 70
10 Rapasdepic|1 0 2 0|155|65 90 65 100
3 Abo|1 0 3 -1|58|35 60 44 55
5 Arbok|1 0 3 -1|157|60 95 69 80
7 Pikachu|1 0 12 -1|112|35 55 40 90
6 Raichu|1 0 12 -1|218|60 90 55 110
9 Sabelette|1 0 4 -1|60|50 75 85 40
10 Sablaireau|1 0 4 -1|158|75 100 110 65
9 Nidoran F|1 0 3 -1|55|55 47 52 41
8 Nidorina|1 0 3 -1|128|70 62 67 56
9 Nidoqueen|1 0 4 3|227|90 92 87 76
9 Nidoran M|1 0 3 -1|55|46 57 40 50
8 Nidorino|1 0 3 -1|128|61 72 57 65
8 Nidoking|1 0 4 3|227|81 102 77 85
7 Melofee|1 0 17 -1|113|70 45 48 35
9 Melodelfe|1 0 17 -1|217|95 70 73 60
6 Goupix|1 0 9 -1|60|38 41 40 65
7 Feunard|1 0 9 -1|177|73 76 75 100
9 Rondoudou|1 0 17 0|95|115 45 20 20
9 Grodoudou|1 0 17 0|196|140 70 45 45
10 Nosferapti|1 0 2 3|49|40 45 35 55
10 Nosferalto|1 0 2 3|159|75 80 70 90
9 Mystherbe|1 0 3 11|64|45 50 55 30
6 Ortide|1 0 3 11|138|60 65 70 40
9 Rafflesia|1 0 3 11|221|75 80 85 50
5 Paras|1 0 11 6|57|35 70 55 25
8 Parasect|1 0 11 6|142|60 95 80 30
8 Mimitoss|1 0 3 6|61|60 55 50 45
8 Aeromite|1 0 3 6|158|70 65 60 90
10 Taupiqueur|1 0 4 -1|53|10 55 25 95
10 Triopikeur|1 0 4 -1|149|35 100 50 120
7 Miaouss|1 0 0 -1|58|40 45 35 90
7 Persian|1 0 0 -1|154|65 70 60 115
9 Psykokwak|1 0 10 -1|64|50 52 48 55
8 Akwakwak|1 0 10 -1|175|80 82 78 85
9 Ferosinge|1 0 1 -1|61|40 80 35 70
10 Colossinge|1 0 1 -1|159|65 105 60 95
7 Caninos|1 0 9 -1|70|55 70 45 60
7 Arcanin|1 0 9 -1|194|90 110 80 95
7 Ptitard|1 0 10 -1|60|40 50 40 90
7 Tetarte|1 0 10 -1|135|65 65 65 90
7 Tartard|1 0 1 10|230|90 95 95 70
4 Abra|1 0 13 -1|62|25 20 15 90
7 Kadabra|1 0 13 -1|140|40 35 30 105
8 Alakazam|1 0 13 -1|225|55 50 45 120
6 Machoc|1 0 1 -1|61|70 80 50 35
9 Machopeur|1 0 1 -1|142|80 100 70 45
10 Mackogneur|1 0 1 -1|227|90 130 80 55
9 Chetiflor|1 0 3 11|60|50 75 35 40
10 Boustiflor|1 0 3 11|137|65 90 50 55
8 Empiflor|1 0 3 11|221|80 105 65 70
9 Tentacool|1 0 3 10|67|40 40 35 70
10 Tentacruel|1 0 3 10|180|80 70 65 100
9 Racaillou|1 0 4 5|60|40 80 100 20
10 Gravalanch|1 0 4 5|137|55 95 115 35
6 Grolem|1 0 4 5|223|80 120 130 45
6 Ponyta|1 0 9 -1|82|50 85 55 90
6 Galopa|1 0 9 -1|175|65 100 70 105
8 Ramoloss|1 0 13 10|63|90 65 65 15
9 Flagadoss|1 0 13 10|172|95 75 110 30
